Nom;Taille de la boite;Nb de joueurs;Temps;Categorie;Duplicata;Image
Taco Verso Bouc Cheese Pizza;Petit;2a8;10 min;Reflexe;1;https://joueclub-joueclub-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/0/0/16ee33eec916630d683acd157633132a2f848ea4_41067038.jpeg
Deadlines;Petit;1a10;15 min;reflexion;1;https://static.fnac-static.com/multimedia/Images/85/85/22/F4/15999621-3-1541-1/tsp20230127193013/Deadlines.jpg
ComplotS;Petit;2a8;15 min;Bluff, roles caches;2;https://i0.wp.com/gusandco.net/wp-content/uploads/2016/08/complots-matos2.jpg?fit=1135%2C738&ssl=1
Saboteur;Petit;3a10;30 min;Roles caches;2;https://cdn.laredoute.com/products/4/5/b/45b380cba7dd6fd1c79d52680d404cda.jpg?width=1200&dpr=1
Mascarade;Petit;2a13;30 min;Bluff, roles caches;1;https://www.laposte.fr/ecom/occ/ecommerce/medias/sys_master/productsmedias/hb4/he9/9948599353374/mp-500168827_media2/mp-500168827_media2.jpg_450Wx450H
Time bomb;Petit;4a8;15 min;Bluff, roles caches;1;https://auparadisdujeu.ch/shop/801-medium_default/time-bomb.jpg
Citadelles : troisieme edition;Petit;2a8;1h;Roles caches, strategie;1;https://www.goldenmeeple.be/wp-content/uploads/2019/01/citadelles-3-edition-00.jpg
Katana;Petit;3a7;20a40 min;Bluff, roles caches;1;https://www.espritjeu.com/upload/image/katana-p-image-50279-grande.jpg
Le poker des cafards;Petit;2a6;25 min;Bluff;1;https://cdn1.philibertnet.com/377954-large_default/le-poker-des-cafards.jpg
Mafia de Cuba;Petit;6a12;10a20 min;Bluff;1;https://cdn1.trictrac.net/documents/formats/enlargement/documents/originals/8c/11/d98cf0147ab41383a608611667da98ce3dfa.png
Mafia de Cuba extension;;;;liee;1;https://joueclub-joueclub-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/0/0/884eac661b6c4d03b98c6b0a5ddcfde2ca4ec805_06024161.jpeg
Skull;Petit;3a6;15a45 min;Bluff;1;https://cdn2.trictrac.net/documents/formats/enlargement/documents/originals/f7/a3/00d7cdd99fa30bc7c48a31c5668ae03ad3b2.jpeg
Khromix;Petit;2a6;10 min;Reflexe;1;https://ulule.me/presales/4/7/6/11674/khromix_vue_globale_jpg_640x860_q85.jpg
Twinit !;Petit;2a6;;Rapidite, reflexion;1;https://cdn1.philibertnet.com/502880-thickbox_default/twin-it.jpg
Tranquillite;Petit;1a5;20 min;Coop;1;https://image.darty.com/darty?type=image&source=/market/2023/09/01/19468743_3723_1.jpg&width=497&height=330&quality=95&effects=Pad(CC,FFFFFF)
Linkto;Petit;1a10;30a45 min;Coop, culture G;1;https://cdn2.philibertnet.com/472779-thickbox_default/linkto-cuisine.jpg
Novembre rouge;Petit;3a10;1a2 h;Coop;1;https://ludovox-fr.exactdn.com/wp-content/uploads/2014/06/jeu-de-societe-novembre-rouge.png?strip=all&lossy=1&ssl=1
Not alone;Petit;2a7;30a45 min;Coop, bluff;2;https://i0.wp.com/gusandco.net/wp-content/uploads/2016/09/notalone.jpg?fit=747%2C1024
A fake artist goes to New York;Petit;2a10;20 min;Roles caches;1;https://m.media-amazon.com/images/I/619wWrB4cXL.jpg
Crossfire;Petit;5a10;5a10 min;Roles caches;1;https://ludovox-fr.exactdn.com/wp-content/uploads/2017/03/crossfire-boite-plaid-hat-games-ludovox.jpg?strip=all&lossy=1&ssl=1
Secrets;Petit;4a8;20 min;Roles caches;1;https://m.media-amazon.com/images/I/819gGZtv8iL._AC_UF1000,1000_QL80_.jpg
Mito;Petit;3a5;25 min;Jeux de Cartes;1;https://joueclub-joueclub-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/0/0/80cf1a64794e48bf3e4d67e65fea5cca04fc5221_06040809.jpeg
Uno;Petit;2a10;5 min;Jeux de cartes;1;https://m.media-amazon.com/images/I/71iUWr9AgYL._AC_UF1000,1000_QL80_.jpg
6 qui prend !;Petit;2a10;10 min;Reflexion;1;https://m.media-amazon.com/images/I/81Mehg9cPCL.jpg
Non merci !;Petit;3a5;20 min;Reflexion;1;https://m.media-amazon.com/images/I/71Mspmwr4aL._AC_UF1000,1000_QL80_.jpg
Gang de castors;Petit;2a6;20 min;Reflexion;1;https://m.media-amazon.com/images/I/7171zQPDUKL._AC_UF1000,1000_QL80_.jpg
Cortex challenge;Petit;2a6;15 min;Reflexion;1;https://m.media-amazon.com/images/I/81N4AavTB-L.jpg
Skyjo;Petit;2a8;10a15 min;Reflexion;1;https://joueclub-joueclub-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/0/0/d46a8ee6930e53ad1231777e55c4ed9d1407c087_06029027.jpeg
La guerre des moutons;Petit;2a4;30 min;Strategie;2;https://static.fnac-static.com/multimedia/Images/FR/NR/83/2a/20/2108035/1540-1/tsp20161013084410/La-guerre-des-moutons-Asmodee.jpg
Robin Wood;Petit;2a4;15 min;Bluff;1;https://i1.wp.com/gusandco.net/wp-content/uploads/2018/09/robin-wood.jpg?fit=372%2C372
La fievre de l'or;Petit;3a5;45 min;Strategie;1;https://www.lencephalo.com/wp-content/uploads/2018/08/la-fievre-de-l-or-eclate.jpg
Camelot;Petit;2a5;40 min;Strategie;2;https://static.fnac-static.com/multimedia/FR/Images_Produits/FR/fnac.com/Visual_Principal_340/6/6/2/3558380000266/tsp20120919180422/Asmodee-Camelot.jpg
